company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
IDEX CORPORATION,1177.0,1244.0,1191.0,490.0,468.0,457.0,1988.0,1989.0,IDEX Corporation,2.263229,2.540326,2.8031,3.0396,3.112093,3.584557,3.9934,4.508,1.550683,1.874072,2.1141,2.4723,2.494573,2.351646,2.7648,3.1819,-0.137015,-0.172577,-0.6981,-0.9172,5.62,4.98,5.91,,3.813912,4.414398,4.9172,5.5119,0.425521,0.377778,0.4494,0.5869,USD,,8868.0,,FALSE,Machinery&Manufacture
CENTERPOINT ENERGY,1173.0,1414.0,1120.0,489.0,556.0,433.0,1882.0,,"CenterPoint Energy, Inc.",8.359,8.348,9.415,10.045,22.603,19.869,24.973,24.881,27.17,25.123,28.264,28.501,7.564,7.418,8.352,9.321,-8.421,-1.265,-1.851,-1.628,1.34,-1.79,2.35,,35.529,33.471,37.679,38.546,0.791,-0.773,1.486,1.057,USD,,8986.0,,FALSE,Resources&Materials
NUANCE COMMUNICATIONS,1162.0,1228.0,2686.0,486.0,535.0,878.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500.0,,FALSE,IT&Software
"PPD, INC.",1172.0,1297.0,,488.0,550.0,,1985.0,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000.0,,FALSE,Healthcare
CONTURA ENERGY,1165.0,15331.0,16885.0,487.0,,,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.0,,FALSE,Resources&Materials
FRANKLIN RESOURCES,1161.0,1293.0,1218.0,485.0,529.0,470.0,1947.0,,"Franklin Resources, Inc.",11.3709,11.5157,12.7436,13.8247,10.6542,14.465,18.2938,20.3087,3.1613,8.7052,11.4248,14.2359,5.7745,5.5665,8.4255,8.2753,-1.0771,-3.2431,-2.6159,-3.3292,2.35,1.59,3.58,2.53,14.5322,20.2209,24.1684,28.0606,1.1957,0.7989,1.8312,1.2919,USD,,9800.0,,FALSE,Finance&Investments
AVERY DENNISON CORPORATION,1160.0,1154.0,1337.0,484.0,520.0,499.0,1990.0,,Avery Dennison Corporation,1.204,1.4999,1.9244,2.0322,2.7033,3.552,4.7103,4.5357,4.2848,4.599,6.0472,5.9183,7.0701,6.9715,8.4083,9.0393,-0.251,-0.5542,-1.7379,-0.3327,3.641736,6.664052,8.938883,,5.4888,6.0989,7.9716,7.9505,0.3036,0.5559,0.7401,0.7571,USD,,36000.0,,FALSE,Resources&Materials
PIMCO,1159.0,1159.0,,482.0,,,,,PIMCO Dynamic Income Fund,1.603368,1.375107,1.781435,4.466886,2.664185,2.414886,3.015668,8.549708,1.140235,1.148482,1.462154,4.464768,0.131587,-0.170746,0.333605,-0.706089,,,,,2.36,-2.88,5.08,-2.93,2.743603,2.523589,3.243589,8.931654,0.131381,-0.171087,0.333377,-0.706619,USD,4.0,,['Finance&Tokens'],TRUE,Finance&Investments
HOLOGIC,1159.0,1074.0,1122.0,483.0,388.0,435.0,1985.0,1990.0,"Hologic, Inc.",2.2791,2.7073,4.2186,4.8762,5.0627,5.4191,6.9308,7.6846,4.332,4.4885,4.7013,4.195,3.3673,3.7764,5.6323,4.8628,-0.2807,-0.1416,-1.3296,-0.2063,-0.76,4.24,7.28,5.18,6.6111,7.1958,8.9199,9.0712,-0.0402,1.1152,1.8715,1.302,USD,,6944.0,,FALSE,Healthcare
VARIAN MEDICAL SYSTEMS,1246.0,1281.0,1198.0,510.0,441.0,460.0,1948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.0,,FALSE,Healthcare
