company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
WHATSAPP,,276,276,276,140,140,142,55,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLA CORPORATION,KLA Corporation,284,372,538,144,199,231,14000,1997,1980,USD,4.569,5.806,6.919,9.212,7.53,7.76,13.49,22.07,9.009,9.28,10.271,12.597,1.176,1.217,2.078,3.322,6.331,6.599,6.895,11.198,2.678,2.681,3.376,1.399,-1.181,-0.259,-0.5,-0.025,5.832,6.135,6.8,8.062
MARATHON PETROLEUM CORPORATION,Marathon Petroleum Corporation,455,542,391,215,295,181,17800,2009,,USD,124.016,69.779,119.983,177.453,4.0,-15.13,15.34,28.31,98.556,85.158,85.373,89.904,2.637,-9.919,9.738,14.516,55.449,54.938,51.792,54.817,43.107,30.22,33.581,35.087,-6.261,-3.257,14.797,0.623,61.821,50.929,51.174,53.349
MCKESSON CORPORATION,McKesson Corporation,535,682,626,248,284,268,75000,1833,,USD,,231.051,238.228,263.966,,4.98,-28.26,7.32,,61.247,65.015,63.298,,0.9,-4.539,1.114,,54.536,63.569,65.09,,6.711,1.446,-1.792,,-0.579,-0.415,-0.089,,11.427,6.385,2.808
AMERICAN INTERNATIONAL GROUP (AIG),,384,432,280,174,248,145,26200,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIONEER NATURAL RESOURCES COMPANY,Pioneer Natural Resources Company,400,568,619,182,387,262,2076,1997,,USD,9.671,7.024,17.87,24.384,4.6,-1.21,09.06,32.61,19.067,19.229,36.811,35.74,0.756,-0.2,2.118,7.845,6.948,7.66,13.974,13.199,12.119,11.569,22.837,22.541,-2.447,-1.668,-0.869,-3.586,13.958,14.729,29.525,26.666
MICRON TECHNOLOGY,"Micron Technology, Inc.",142,195,205,85,93,112,48000,1978,,USD,23.406,21.435,27.705,30.758,5.67,2.42,5.23,7.81,48.887,53.678,58.849,66.283,6.313,2.687,5.861,8.687,48.887,14.682,14.916,16.376,36.77,38.996,43.933,49.907,-10.085,-7.589,-10.589,-11.585,35.881,45.369,50.554,56.71
FREEPORT-MCMORAN,Freeport-McMoRan Inc.,295,357,827,149,210,339,25600,1988,,USD,14.402,14.198,22.845,22.78,-0.164714,0.410837,2.93,,40.809,42.144,48.022,51.093,-0.239,0.599,4.306,3.468,23.361,23.476,25.003,26.222,17.448,18.668,23.019,24.871,-2.103,-1.264,-1.964,-3.44,19.119,19.851,23.058,25.138
BLACKSTONE GROUP,,199,177,186,112,167,103,4695,1985,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METLIFE,"MetLife, Inc.",322,361,285,157,180,148,45000,1868,2000,USD,69.62,67.842,71.08,69.898,6.25015,5.72,7.36,2.93,740.463,795.146,759.708,666.611,5.899,5.407,6.554,2.539,674.081,720.329,691.959,639.324,66.382,74.817,67.749,27.287,-17.586,-18.569,-11.187,-2.62,82.76,92.314,84.571,44.845
EMERSON ELECTRIC COMPANY,Emerson Electric Co.,321,292,303,156,157,156,85500,1890,,USD,18.372,16.785,18.236,19.629,3.74,3.26,3.85,5.44,20.497,22.882,24.715,35.672,2.306,1.965,2.303,3.231,12.224,14.435,14.792,19.356,8.273,8.447,9.923,16.316,-1.174,-0.74,-2.12,-5.334,12.55,14.773,15.716,18.623
DOLLAR GENERAL CORPORATION,Dollar General Corporation,336,369,376,161,151,178,158000,1939,2009,USD,,27.754,33.747,34.22,,6.68,10.7,10.24,,22.825,25.863,26.327,,1.713,2.655,2.399,,16.123,19.201,20.065,,6.702,6.661,6.262,,-0.782,-1.025,-1.066,,9.614,10.792,10.434
LAM RESEARCH CORPORATION,Lam Research Corporation,166,189,329,97,117,166,17700,1980,1984,USD,9.654,10.045,14.626,17.227,14.37,15.55,27.22,32.92,12.001,14.559,15.892,17.196,2.191,2.252,3.908,4.605,7.278,9.376,9.865,10.917,4.723,5.183,6.027,6.278,-1.637,-0.244,0.073,0.612,8.546,10.154,11.018,11.277
NORFOLK SOUTHERN CORPORATION,Norfolk Southern Corporation,234,294,270,126,133,138,19300,1982,,USD,11.296,9.789,11.142,12.745,10.554276,7.985082,12.16,13.92,37.923,37.962,38.493,38.885,2.722,2.013,3.005,3.27,22.739,23.171,24.852,26.152,15.184,14.791,13.641,12.733,-1.764,-1.175,-1.222,-1.603,27.064,26.893,26.928,27.212
TRUIST FINANCIAL CORPORATION,Truist Financial Corporation,187,214,155,107,124,87,51169,1872,,USD,12.568,22.705,22.259,23.035,3.76,3.11,4.51,,473.078,509.228,541.241,555.255,3.224,4.482,6.44,6.26,406.52,438.316,471.97,494.718,66.558,70.912,69.271,60.537,8.348,-43.652,-32.056,-29.972,107.723,110.404,105.184,103.717
INTERCONTINENTAL EXCHANGE,"Intercontinental Exchange, Inc.",225,269,262,123,123,135,8911,2000,2005,USD,6.547,8.244,9.168,9.636,3.44,3.79,7.22,2.59,94.493,126.2,193.502,194.338,1.933,2.089,4.058,1.446,77.129,106.573,170.754,171.577,17.364,19.627,22.748,22.761,-0.594,-9.83,-0.786,0.677,22.505,33.624,35.106,40.824
OCCIDENTAL PETROLEUM CORPORATION,Occidental Petroleum Corporation,683,898,408,311,433,188,11973,1920,,USD,20.393,17.809,25.956,36.634,-1.22,-17.06,1.62,,109.33,80.064,75.036,72.609,-0.667,-14.831,2.322,12.504,75.098,61.491,54.709,42.524,34.232,18.573,20.327,30.085,-28.873,-0.778,-1.174,-4.872,72.769,54.318,49.758,49.755
CROWN CASTLE INTERNATIONAL CORPORATION,,196,192,217,110,116,117,5000,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAFT HEINZ COMPANY,The Kraft Heinz Company,431,459,389,196,179,180,37000,2015,,USD,24.977,26.185,26.042,26.485,1.59,0.29,0.8300000000000001,1.93,101.45,99.83,93.394,90.513,1.935,0.356,1.012,2.363,49.701,49.587,43.942,41.643,51.749,50.243,49.452,48.87,1.511,-0.522,4.038,-1.091,79.839,78.173,70.359,67.911
PUBLIC STORAGE,Public Storage,290,328,321,147,196,163,5900,1972,,USD,2.847,2.915,3.416,4.182,7.3,6.29,9.91,23.64,11.365,11.817,17.381,17.552,1.521,1.357,1.953,4.349,2.286,3.24,7.957,7.386,09.08,8.577,9.424,10.167,-0.897,-1.118,-5.564,1.12,10.965,11.104,16.81,16.944
GENERAL MILLS,"General Mills, Inc.",486,598,474,231,222,208,32500,1928,,USD,16.865,17.627,18.127,18.993,2.92,3.59,3.81,4.46,30.111,30.807,31.842,31.09,1.753,2.181,2.34,2.707,22.192,21.913,21.464,20.302,7.919,8.894,10.378,10.788,-0.556,-0.486,-0.513,-1.691,18.679,18.988,19.257,19.677
DOMINION ENERGY,"Dominion Energy, Inc.",278,293,179,141,131,98,17200,1983,,USD,16.572,14.172,13.964,17.174,1.727924,-0.497519,4.059259,,103.823,95.905,99.59,104.243,1.448,-0.401,3.288,0.994,69.79,69.444,72.282,76.362,34.033,26.461,27.308,27.881,-4.622,-2.916,-6.247,-6.746,65.713,60.074,64.734,66.795
AIRBNB,"Airbnb, Inc.",144,163,276,87,91,143,6811,2008,2020,USD,4.805,3.378,5.992,8.399,-1.270073,-16.12,-0.5700000000000001,,8.31,10.491,13.708,16.038,-0.674,-4.585,-0.352,1.893,9.118,7.59,8.933,10.478,-0.808,2.902,4.776,5.56,-0.347,0.08,-1.352,-0.028,-0.808,4.717,6.758,7.547
MOODY'S CORPORATION,Moody's Corporation,251,246,315,132,145,160,14426,1909,,USD,4.829,5.371,6.218,5.468,7.51,9.48,11.88,7.47,10.265,12.409,14.68,14.349,1.422,1.778,2.214,1.374,9.434,10.646,11.764,14.349,0.831,1.763,2.916,2.689,0.036,-1.077,-2.619,-0.262,0.831,1.763,2.916,2.519
KEURIG DR PEPPER,Keurig Dr Pepper Inc.,357,390,369,165,166,175,28000,1981,,USD,11.12,11.618,12.683,14.057,0.89,0.94,1.52,,49.518,49.779,50.598,51.837,1.254,1.325,2.146,1.436,26.261,25.949,25.626,26.712,23.257,23.83,24.972,25.125,-0.15,-0.316,0.21,-1.135,36.084,34.972,36.55,36.198
VMWARE,"VMware, Inc.",381,296,195,173,137,106,38300,1998,2007,USD,,10.811,11.767,12.851,,15.37,4.9,4.34,,26.294,29.016,28.676,,6.412,2.058,1.82,,19.285,19.965,29.552,,7.009,9.051,-0.876,,-2.728,-0.713,-0.329,,10.01,14.038,11.795
ARCHER-DANIELS-MIDLAND COMPANY,Archer-Daniels-Midland Company,522,632,597,244,281,254,38332,1902,,USD,64.656,64.355,85.249,101.848,2.45,3.16,4.8,7.934186,43.997,33.581,35.716,37.028,1.379,1.772,2.709,4.34,24.714,13.559,12.949,12.412,19.225,20.022,22.767,24.616,5.259,4.465,-2.669,-1.4,19.167,19.948,31.109,32.994
ENTERPRISE PRODUCTS PARTNERS,Enterprise Products Partners L.P.,373,406,207,171,174,113,7130,1968,,USD,32.789,27.2,40.807,58.186,2.097225,1.71,2.11,2.527632,61.733,64.107,67.526,68.108,4.591,3.776,4.638,5.49,35.906,38.729,41.087,40.406,25.828,25.377,26.438,27.702,-4.576,-3.121,-2.135,-4.954,50.407,52.845,53.464,53.174
TARGET CORPORATION,Target Corporation,131,131,192,79,89,105,440000,1902,,USD,,78.112,93.561,106.005,,6.42,8.72,14.23,,42.779,51.248,53.811,,3.281,4.368,6.946,,30.946,36.808,40.984,,11.833,14.44,12.827,,-2.944,-2.591,-3.154,,23.171,25.976,26.376
BOSTON SCIENTIFIC CORPORATION,Boston Scientific Corporation,301,283,198,151,152,108,51000,1979,,USD,10.735,9.913,11.888,12.682,3.38,-0.08,0.6900000000000001,,30.565,30.777,32.229,32.469,4.7,-0.14,1.041,0.698,16.688,15.451,15.607,14.896,13.877,15.326,16.622,17.573,-5.041,-0.411,-1.597,-2.011,22.456,24.445,25.418,26.484
3M COMPANY,3M Company,147,139,110,89,70,60,92000,1902,,USD,32.136,32.184,35.355,34.229,7.92,9.43,10.23,10.21,44.659,47.344,47.072,46.455,4.57,5.384,5.921,5.777,34.533,34.413,31.955,31.685,10.126,12.931,15.117,14.77,-6.444,-0.58,-1.317,-1.046,27.644,30.92,31.173,28.771
U.S. BANCORP,U.S. Bancorp,173,190,122,101,113,69,77000,1968,,USD,22.883,23.226,22.721,24.184,4.16,03.06,5.11,,495.426,553.905,573.284,674.805,6.914,4.959,7.963,5.825,442.943,500.18,517.897,623.573,52.483,53.725,55.387,51.232,-21.56,-15.44,-57.487,7.5,92.02,94.392,87.043,90.595
PUBLIX,,200,200,200,114,110,109,232000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLGATE-PALMOLIVE COMPANY,Colgate-Palmolive Company,242,272,214,129,108,115,33800,1806,,USD,15.693,16.471,17.421,17.967,2.76,3.15,2.56,,15.034,15.92,15.04,15.731,2.367,2.695,2.166,1.785,14.476,14.819,14.069,14.925,0.558,1.101,0.971,0.806,-2.099,-0.779,-0.592,-1.601,0.117,8.344,7.854,9.167
ZOETIS,Zoetis Inc.,156,164,196,92,101,107,13800,1952,2013,USD,6.26,6.675,7.776,08.08,3.14,3.44,4.29,4.51,11.545,13.609,13.9,14.925,1.5,1.638,2.037,2.114,8.837,9.836,9.356,10.522,2.708,3.773,4.544,4.403,-0.504,-0.572,-0.458,-0.883,8.655,10.364,11.135,10.957
HCA HEALTHCARE,"HCA Healthcare, Inc.",213,202,278,118,142,144,294000,1968,2011,USD,51.336,51.533,58.752,60.233,10.356169,11.059861,21.52,20.344057,45.058,47.49,50.742,52.438,3.505,3.754,6.956,5.643,45.623,44.598,49.253,52.511,-0.565,2.892,1.489,-0.073,-5.72,-3.393,-2.643,-3.389,30.769,31.367,33.409,34.947
GENERAL DYNAMICS CORPORATION,General Dynamics Corporation,307,334,238,152,176,126,106500,1952,,USD,39.35,37.925,38.469,39.407,12.09,11.04,11.61,,48.841,51.308,50.073,51.585,3.484,3.167,3.257,3.39,35.264,35.647,32.432,33.017,13.577,15.661,17.641,18.568,-0.994,-0.974,-0.882,-1.489,22.587,25.656,28.131,27.811
ILLINOIS TOOL WORKS,Illinois Tool Works Inc.,218,227,225,120,125,118,46000,1912,,USD,14.109,12.574,14.455,15.932,7.78,6.66,8.55,,15.068,15.612,16.077,15.422,2.521,2.109,2.694,3.034,12.038,12.43,12.451,12.333,03.03,3.182,3.626,3.089,-0.183,-0.214,-0.984,-0.11,10.78,10.953,10.534,9.261
CHARTER COMMUNICATIONS,"Charter Communications, Inc.",135,88,105,80,53,57,101700,1993,,USD,45.764,48.097,51.682,54.022,7.6,15.85,25.34,,148.188,144.206,142.491,144.523,1.668,3.222,4.654,5.055,109.377,113.925,124.335,131.974,38.811,30.281,18.156,12.549,-7.331,-8.157,-7.754,-9.114,107.023,105.549,102.614,105.212
AIR PRODUCTS AND CHEMICALS,"Air Products and Chemicals, Inc.",270,312,266,136,132,137,21900,1940,,USD,8.919,8.856,10.323,12.699,7.99,8.53,9.47,10.16,18.943,25.168,26.859,27.193,1.76,1.887,2.099,2.256,7.554,12.725,12.771,13.49,11.388,12.443,14.088,13.702,-2.113,-3.56,-2.733,-3.857,14.281,19.51,20.69,20.23
SCHLUMBERGER,Schlumberger Limited,394,519,232,177,267,121,99000,1926,,USD,32.917,23.601,22.929,28.091,-7.32,-7.57,1.34,2.43,56.312,42.569,41.511,43.135,-10.137,-10.518,1.881,3.441,32.136,30.08,26.225,25.146,24.176,12.489,15.286,17.989,-2.011,-2.353,-0.919,-1.388,38.946,28.525,28.572,28.583
VERTEX PHARMACEUTICALS,Vertex Pharmaceuticals Incorporated,323,371,227,158,130,119,4500,1989,1991,USD,4.163,6.206,7.574,8.931,4.58,10.44,09.09,12.97,8.318,11.752,13.432,18.151,1.177,2.712,2.342,3.322,2.233,3.065,3.332,4.238,6.085,8.687,10.1,13.913,-1.235,0.099,-0.341,-0.321,6.085,8.687,10.1,13.913
BECTON DICKINSON AND COMPANY,"Becton, Dickinson and Company",233,237,165,125,111,92,77000,1897,,USD,17.29,17.117,20.248,18.87,3.96,2.75,6.92,5.93,51.842,54.012,53.866,52.934,1.22,0.874,2.092,1.779,30.665,30.237,30.189,27.633,21.177,23.775,23.677,25.301,-0.741,-1.232,-1.88,-3.231,39.258,40.999,40.787,39.187
PROGRESSIVE CORPORATION,The Progressive Corporation,281,331,343,143,138,169,55000,1937,,USD,38.998,42.638,47.676,49.586,6.75,9.71,5.69,1.19,54.895,64.098,71.132,75.465,3.97,5.705,3.351,0.722,41.222,47.06,52.901,59.574,13.673,17.039,18.232,15.891,-4.338,-6.118,-3.12,-7.956,18.08,22.435,23.13,22.279
CARGILL,,174,174,174,103,96,96,155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKING HOLDINGS,Booking Holdings Inc.,155,169,132,91,85,73,21600,1996,,USD,15.066,6.796,10.958,17.09,112.93,1.45,28.39,,21.402,21.874,23.641,25.361,4.865,0.059,1.165,3.058,15.469,16.981,17.463,22.579,5.933,4.893,6.178,2.782,07.05,2.637,-0.998,-0.518,13.573,15.922,15.115,14.767
ACTIVISION BLIZZARD,"Activision Blizzard, Inc.",387,284,317,175,112,161,13000,2008,,USD,6.489,8.086,8.803,7.528,1.96,2.85,3.47,,19.845,23.109,25.056,27.383,1.503,2.197,2.699,1.513,07.04,8.072,7.457,8.14,12.805,15.037,17.599,19.243,-0.022,-0.178,-0.059,-4.994,15.48,18.642,21.207,22.854
MODERNA,"Moderna, Inc.",188,87,2187,108,185,737,3900,2010,2018,USD,0.048,0.274,17.736,19.263,-1.55,-1.96,30.31,21.26,1.589,7.337,24.669,25.858,-0.514,-0.747,12.202,8.362,0.415,4.775,10.524,6.735,1.175,2.561,14.145,19.123,-0.015,-1.672,-8.523,-5.176,1.175,2.561,14.145,19.123
EOG RESOURCES,"EOG Resources, Inc.",318,516,284,155,274,147,2850,1999,,USD,16.942,9.873,19.669,29.492,4.73,-1.04,08.03,,37.125,35.805,38.236,41.371,2.735,-0.605,4.664,7.759,15.484,15.503,16.056,16.592,21.641,20.302,22.18,24.779,-6.177,-3.348,-3.419,-0.837,25.802,25.337,27.252,28.574
EQUINIX,"Equinix, Inc.",249,215,274,131,127,139,12097,1998,2000,USD,5.562,5.999,6.636,7.263,06.03,4.22,5.57,7.69,23.966,27.039,27.919,30.311,0.507,0.37,0.5,0.704,15.125,16.405,17.037,18.805,8.84,10.634,10.882,11.506,-1.945,-3.427,-3.007,-3.363,18.44,20.94,22.453,24.258
AON,Aon plc,292,277,288,148,155,150,50000,1982,,USD,11.013,11.066,12.193,12.479,6.42,8.49,5.59,,29.405,32.106,31.928,32.704,1.532,1.969,1.255,2.589,25.956,28.523,30.77,33.133,3.449,3.583,1.158,-0.429,-0.229,-0.679,0.049,-0.449,10.002,10.776,9.289,9.296
CME GROUP,CME Group Inc.,204,234,166,115,121,93,3460,2007,2002,USD,4.868,4.884,4.69,5.019,5.93,5.88,7.3,7.41,75.215,124.66,196.78,174.176,2.116,2.105,2.636,2.691,49.056,98.308,169.381,147.297,26.159,26.352,27.399,26.879,-0.153,-0.176,0.058,-0.49,29.872,29.764,30.095,30.301
SHERWIN-WILLIAMS COMPANY,The Sherwin-Williams Company,192,205,245,109,120,131,64366,1866,,USD,17.901,18.362,19.945,22.149,5.596667,7.483333,7.1,7.83,20.514,20.402,20.667,22.594,1.541,02.03,1.864,02.02,16.391,16.791,18.23,19.492,4.123,3.611,2.437,3.102,-0.463,-0.322,-0.476,-1.608,12.174,11.878,11.028,12.693
THE PNC FINANCIAL SERVICES GROUP,"The PNC Financial Services Group, Inc.",164,200,174,96,128,95,61545,1845,,USD,17.827,16.901,19.135,21.114,11.43,16.99,12.71,,410.295,466.679,558.448,557.263,5.369,7.517,5.674,6.041,360.952,412.638,502.722,511.451,49.343,54.041,55.726,45.812,-24.99,-51.122,-2.795,-13.428,109.577,91.205,86.479,104.487
FISERV,"Fiserv, Inc.",237,212,146,127,103,83,41000,1984,1986,USD,10.187,14.852,16.226,17.737,1.74,1.42,02.01,3.94,77.539,74.619,76.249,83.869,0.893,0.958,1.334,2.53,42.682,41.29,44.299,52.181,34.857,33.329,31.95,31.688,-16.602,-0.341,-1.63,-2.112,54.591,52.63,51.681,51.778
HUMANA,Humana Inc.,414,366,290,186,147,151,67100,1961,,USD,64.888,77.155,83.064,92.87,20.2,25.47,22.79,,29.074,34.969,44.343,43.055,2.707,3.367,2.933,2.806,17.037,21.241,28.24,27.685,12.037,13.728,16.103,15.37,-1.278,-3.065,-6.556,-1.006,17.004,19.788,26.621,24.345
WASTE MANAGEMENT,"Waste Management, Inc.",260,276,292,134,154,152,49500,1968,,USD,15.455,15.218,17.931,19.698,3.93,3.54,4.32,5.42,27.743,29.345,29.097,31.367,1.67,1.496,1.816,2.238,20.673,21.891,21.971,24.503,07.07,7.454,7.126,6.864,-2.376,-4.847,-1.894,-3.063,20.348,20.711,19.821,21.419
CSX CORPORATION,CSX Corporation,198,228,234,111,114,123,22500,1980,,USD,11.937,10.583,12.522,14.853,1.39,1.2,1.6800000000000002,1.95,38.257,39.793,40.531,41.912,3.331,2.765,3.781,4.166,26.394,26.683,27.031,29.287,11.863,13.11,13.5,12.625,-2.102,-0.649,-1.877,-2.131,27.856,29.414,29.685,30.521
MARSH & MCLENNAN COMPANIES,"Marsh & McLennan Companies, Inc.",200,208,233,113,136,122,85000,1905,,USD,16.652,17.224,19.82,20.72,3.44,3.98,6.2,6.11,31.317,33.03,34.388,33.454,1.742,2.016,3.143,03.05,23.374,23.77,23.166,22.705,7.943,9.26,11.222,10.749,-5.671,-0.814,-1.164,-0.85,18.684,20.056,22.155,21.976
NORTHROP GRUMMAN CORPORATION,Northrop Grumman Corporation,285,313,215,145,153,116,95000,1994,,USD,33.841,36.799,35.667,36.602,13.28,19.08,43.7,31.61,41.089,44.469,42.579,43.755,2.248,3.189,7.005,4.896,32.27,33.89,29.653,28.443,8.819,10.579,12.926,15.312,-1.207,-1.211,2.058,-1.241,21.589,24.84,25.703,27.117
ANALOG DEVICES,"Analog Devices, Inc.",183,181,319,106,144,162,24450,1965,,USD,5.991,5.603,7.318,12.014,3.68,3.31,3.5,5.29,21.393,21.469,52.322,50.302,1.363,1.221,1.39,2.749,9.683,9.471,14.33,13.837,11.709,11.998,37.993,36.465,-0.293,-0.181,2.144,-0.657,16.901,17.143,44.246,43.014
ALTRIA GROUP,"Altria Group, Inc.",171,172,127,100,102,71,6300,1985,,USD,19.796,20.841,21.111,20.688,-0.695916,2.4,1.34,,49.271,47.414,39.523,36.954,-1.293,4.467,2.475,5.764,42.952,44.489,41.129,40.877,6.319,2.925,-1.606,-3.923,-2.398,-0.143,1.212,0.782,33.264,30.896,25.333,21.151
CITI GROUP,Citigroup Inc.,111,95,46,65,55,30,240000,1998,,USD,74.286,74.291,71.887,75.305,8.625734,5.451146,10.797836,7.037551,1951.158,2260.321,2291.413,2416.676,19.401,11.37,21.952,14.845,1757.212,2059.798,2088.741,2214.838,193.946,200.523,202.672,201.838,-23.374,-95.312,-124.905,-79.455,442.002,471.451,456.346,472.795
GENERAL ELECTRIC COMPANY,General Electric Company,130,136,109,78,82,59,172000,1892,,USD,95.215,79.619,74.196,58.099,-4.99,4.63,-6.16,0.05,266.0,253.452,198.874,188.851,-4.979,5.704,-6.52,0.339,236.2,216.378,157.262,153.939,29.8,37.074,41.612,34.912,8.939,16.642,21.308,2.27,28.3,105.84,71.134,54.016
ESTEE LAUDER COMPANIES,The Estée Lauder Companies Inc.,114,125,161,68,79,88,63000,1946,1995,USD,14.863,14.294,16.215,17.737,4.91,1.9,7.91,6.64,13.156,17.781,21.971,20.91,1.785,0.684,2.87,2.39,8.745,13.819,15.023,14.478,4.411,3.962,6.948,6.432,0.473,-1.698,-1.864,-0.945,7.307,8.876,11.628,10.734
KOCH INDUSTRIES,,145,145,145,88,84,82,122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONDELEZ INTERNATIONAL,"Mondelez International, Inc.",167,185,143,98,94,79,91000,2012,,USD,25.868,26.581,28.72,31.496,2.68,2.48,03.06,,64.549,67.81,67.092,71.161,3.87,3.555,4.3,2.717,37.198,40.156,38.769,44.241,27.351,27.654,28.323,26.92,-0.96,0.5,-0.026,-4.888,41.482,44.854,45.819,47.134
THE TJX COMPANIES,"The TJX Companies, Inc.",182,182,162,105,95,89,329000,1987,,USD,,41.717,32.137,48.55,,2.71,0.08,2.74,,24.145,30.814,28.462,,3.272,0.09,3.283,,18.197,24.981,22.458,,5.948,5.833,6.003,,-1.462,-0.579,-1.046,,8.185,11.166,9.358
ANTHEM,"Elevance Health, Inc.",143,174,154,86,97,86,63900,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRYKER CORPORATION,Stryker Corporation,157,148,147,93,83,84,51000,1941,,USD,14.884,14.351,17.108,18.449,5.57,4.26,5.29,,30.167,34.33,34.631,36.884,2.083,1.599,1.994,2.358,17.36,21.246,19.754,20.268,12.807,13.084,14.877,16.616,-1.455,-4.701,-0.859,-2.924,23.038,26.314,27.349,28.473
INTUITIVE SURGICAL,"Intuitive Surgical, Inc.",126,121,183,75,81,101,12120,1995,2000,USD,4.478,4.358,5.71,6.222,3.983333,03.02,4.79,,9.733,11.169,13.555,12.974,1.379,1.061,1.705,1.322,1.448,1.41,1.604,1.861,8.285,9.759,11.952,11.113,-1.154,-0.941,-2.462,1.371,8.285,9.759,11.952,11.113
VANGUARD GROUP,,139,139,,83,,,18800,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,International Business Machines Corporation,123,120,90,73,61,52,288300,1911,,USD,77.147,73.62,57.351,60.53,10.63,6.28,6.41,,152.186,155.971,132.001,127.243,9.431,5.59,5.742,1.639,131.201,135.245,113.005,105.222,20.985,20.726,18.996,22.021,-26.936,-3.028,-5.975,-4.202,74.943,74.952,63.818,68.133
LOCKHEED MARTIN CORPORATION,Lockheed Martin Corporation,158,157,98,94,74,54,114000,1995,,USD,59.812,65.398,67.044,65.984,22.09,24.4,22.76,,47.528,50.71,50.873,52.88,6.23,6.833,6.315,5.732,44.357,44.672,39.914,43.614,3.171,6.038,10.959,9.266,-1.241,-2.01,-1.161,-1.789,14.531,17.684,22.629,24.695
DEERE & COMPANY,Deere & Company,125,134,240,74,92,128,82200,1837,,USD,39.258,35.54,44.024,52.577,10.28,8.77,19.14,23.42,73.011,75.091,84.114,90.03,3.253,2.751,5.963,7.131,61.58,62.147,65.68,69.673,11.431,12.944,18.434,20.357,-3.924,-3.319,-5.75,-8.485,41.642,45.671,51.319,53.858
AT&T,AT&T Inc.,67,60,22,46,27,15,160700,1983,,USD,181.193,171.76,168.864,120.741,1.9,-0.75,2.77,-1.13,551.951,525.761,551.622,402.853,13.903,-5.176,20.081,-8.524,350.017,346.521,367.767,296.396,201.934,179.24,183.855,106.457,-16.69,-13.548,-32.089,-25.805,335.93,315.448,319.152,225.923
UNION PACIFIC CORPORATION,Union Pacific Corporation,78,99,86,52,50,50,33179,1862,,USD,21.708,19.533,21.804,24.875,8.41,7.9,9.98,11.24,61.673,62.398,63.525,65.449,5.919,5.349,6.523,6.998,43.545,45.44,49.364,53.286,18.128,16.958,14.161,12.163,-3.435,-2.676,-2.709,-3.471,42.071,42.618,41.724,43.811
SALESFORCE.COM,Leverage Shrs 2x Salesforce.com ETP Scs,53,35,62,37,30,37,79390,1999,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETFLIX,"Netflix, Inc.",44,37,65,30,23,39,12800,1997,2002,USD,20.156,24.996,29.698,31.616,4.26,6.26,11.55,,33.976,39.28,44.585,48.595,1.867,2.761,5.116,4.492,26.394,28.215,28.735,27.817,7.582,11.065,15.849,20.777,-0.387,-0.505,-1.34,-2.076,22.341,26.874,30.542,35.13
AMGEN,Amgen Inc.,113,115,66,67,52,40,25200,1980,1983,USD,23.362,25.424,25.979,26.323,12.96,12.4,10.34,,59.707,62.948,61.165,65.121,7.842,7.264,5.893,6.552,50.034,53.539,54.465,61.46,9.673,9.409,6.7,3.661,5.709,-5.401,0.733,-6.044,36.623,42.304,39.922,41.015
BOEING COMPANY,The Boeing Company,115,114,44,69,59,29,156000,1916,,USD,76.559,58.158,62.286,66.608,-1.12,-20.88,-7.15,-8.3,133.625,152.136,138.552,137.1,-0.636,-11.941,-4.29,-5.053,141.925,170.211,153.398,152.948,-8.3,-18.075,-14.846,-15.848,-1.53,-18.366,9.324,4.37,11.345,43.574,41.807,35.928
INTUIT,,82,86,177,53,69,97,17300,1983,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P GLOBAL,S&P Global Inc.,137,145,185,81,99,102,39950,1917,,USD,6.699,7.442,8.297,11.181,8.65,9.71,12.56,10.25,11.348,12.537,15.026,61.784,2.123,2.339,3.024,3.248,8.544,9.185,9.49,22.04,2.804,3.352,5.536,39.744,-0.131,-0.24,-0.12,3.628,4.484,4.681,6.221,47.207
YOUTUBE,,113,113,113,66,63,63,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
