company_name,matched_to,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,currency,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022
OLIN CORPORATION,Olin Corporation,2127,2332,4193,778,1168,1303,7780,1892,,USD,6.11,5.758,8.911,9.376,-0.07,-6.14,8.15,9.16,9.188,8.271,8.518,8.044,-0.011,-0.97,1.297,1.327,6.77,6.819,5.866,5.501,2.418,1.452,2.652,2.544,-0.366,-0.836,-0.197,-0.26,5.756,5.29,5.23,5.115
GLOBUS MEDICAL,"Globus Medical, Inc.",2448,2280,2398,869,816,805,2600,2003,2012,USD,0.785,0.789,0.958,1.023,1.57,01.04,1.48,,1.532,1.679,1.957,2.076,0.155,0.102,0.149,0.19,0.13,0.173,0.216,0.23,1.402,1.506,1.741,1.846,-0.14,-0.117,-0.376,-0.11,1.402,1.506,1.741,1.846
YAHOO,Z Holdings Corp,1954,1954,,716,,,,,,JPY,,1052.943,1205.846,1567.421,,16.88,14.02,10.2,,3933.91,6696.68,7110.386,,81.675,70.145,77.316,,2886.088,3707.083,4128.19,,1047.822,2989.597,2982.196,,-503.034,-12.349,-303.899,,1857.984,4071.881,4350.88
OLD REPUBLIC INTERNATIONAL CORPORATION,Old Republic International Corporation,2292,2347,2133,824,856,723,9500,1969,,USD,7.214,7.166,9.342,8.084,3.52,1.87,05.08,2.28,21.076,22.815,24.982,25.159,1.056,0.559,1.534,0.686,15.076,16.629,18.089,18.993,6.0,6.187,6.893,6.166,-0.425,-0.845,-0.936,-0.415,6.974,7.153,8.482,7.763
AQUA AMERICA,,1894,2019,1484,703,626,541,3211,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROYAL GOLD,"Royal Gold, Inc.",2655,2516,1849,919,780,647,31,1986,,USD,0.423,0.499,0.616,0.603,1.43,03.04,4.61,3.64,2.544,2.766,2.652,3.535,0.094,0.199,0.303,0.239,0.374,0.464,0.148,0.781,2.17,2.302,2.503,2.753,-0.006,-0.153,-0.117,-0.923,2.351,2.573,2.491,3.313
WHIRLPOOL CORPORATION,Whirlpool Corporation,1456,1499,1607,568,577,578,61000,1911,,USD,20.419,19.456,21.985,19.724,18.34,17.15,28.73,-27.18,18.881,20.35,20.285,17.124,1.184,1.081,1.783,-1.519,14.763,15.641,15.272,14.618,4.118,4.709,5.013,2.506,0.636,-0.237,-0.66,-3.568,7.335,8.858,9.775,9.699
HALOZYME THERAPEUTICS,"Halozyme Therapeutics, Inc.",3159,3014,4344,1051,883,1346,145,1998,,USD,0.196,0.268,0.443,0.66,-0.5,0.95,2.86,1.48,0.566,0.58,1.104,1.842,-0.072,0.129,0.403,0.202,0.474,0.429,0.907,1.672,0.092,0.151,0.197,0.17,-0.006,0.078,-0.406,-0.487,0.475,0.151,0.984,1.663
MASIMO CORPORATION,Masimo Corporation,1433,1409,1777,560,476,627,2200,1989,2007,USD,0.938,1.144,1.239,2.036,3.67,4.39,4.16,2.68,1.396,1.713,1.887,3.211,0.196,0.24,0.23,0.144,0.228,0.305,0.337,1.872,1.168,1.408,1.55,1.339,-0.198,-0.083,-0.038,-1.058,1.168,1.408,1.55,2.28
US FOODS HOLDING,US Foods Holding Corp.,2254,2443,1629,812,750,583,26000,1989,,USD,25.939,22.885,29.487,34.057,1.77,-1.15,0.55,01.02,11.288,12.423,12.521,12.773,0.385,-0.226,0.164,0.265,7.579,8.374,8.252,8.278,3.709,4.049,4.269,4.495,-1.987,-1.11,-0.262,-0.255,8.303,9.666,9.185,9.233
ALCOA CORPORATION,Alcoa Corporation,1652,2259,3181,636,1096,1016,13100,1888,2016,USD,10.433,9.286,12.152,12.451,-6.07,-0.91,2.3,-0.68,14.64,14.864,15.003,14.783,-1.125,-0.17,0.429,-0.102,8.784,9.873,8.754,8.211,5.856,4.991,6.249,6.572,-0.468,-0.167,0.565,-0.495,5.881,5.75,6.364,6.864
SEI INVESTMENTS COMPANY,SEI Investments Company,2073,2148,1546,761,687,558,4700,1968,1981,USD,1.65,1.684,1.918,1.991,3.31,03.05,3.87,,2.151,2.167,2.354,2.384,0.501,0.447,0.547,0.475,0.413,0.427,0.494,0.43,1.739,1.74,1.861,1.954,-0.078,-0.067,-0.165,-0.09,1.739,1.74,1.901,1.954
